# Every Discovery method the catalog's documents publish. GENERATED by cmd/gen-gcp.
# service	verb	path	answers	required_query	id
accesscontextmanager	DELETE	v1/accessPolicies/{accessPoliciesId}	longrunning		accesscontextmanager.accessPolicies.delete
accesscontextmanager	DELETE	v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId}	longrunning		accesscontextmanager.accessPolicies.accessLevels.delete
accesscontextmanager	DELETE	v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId}	longrunning		accesscontextmanager.accessPolicies.authorizedOrgsDescs.delete
accesscontextmanager	DELETE	v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId}	longrunning		accesscontextmanager.accessPolicies.servicePerimeters.delete
accesscontextmanager	DELETE	v1/operations/{operationsId}	none		accesscontextmanager.operations.delete
accesscontextmanager	DELETE	v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId}	longrunning		accesscontextmanager.organizations.gcpUserAccessBindings.delete
accesscontextmanager	GET	v1/accessPolicies	none	parent	accesscontextmanager.accessPolicies.list
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}	none		accesscontextmanager.accessPolicies.get
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/accessLevels	none		accesscontextmanager.accessPolicies.accessLevels.list
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId}	none		accesscontextmanager.accessPolicies.accessLevels.get
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs	none		accesscontextmanager.accessPolicies.authorizedOrgsDescs.list
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId}	none		accesscontextmanager.accessPolicies.authorizedOrgsDescs.get
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/servicePerimeters	none		accesscontextmanager.accessPolicies.servicePerimeters.list
accesscontextmanager	GET	v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId}	none		accesscontextmanager.accessPolicies.servicePerimeters.get
accesscontextmanager	GET	v1/folders/{foldersId}:lookupConfiguredServicePerimeter	none		accesscontextmanager.folders.lookupConfiguredServicePerimeter
accesscontextmanager	GET	v1/operations	none		accesscontextmanager.operations.list
accesscontextmanager	GET	v1/operations/{operationsId}	longrunning		accesscontextmanager.operations.get
accesscontextmanager	GET	v1/organizations/{organizationsId}/gcpUserAccessBindings	none		accesscontextmanager.organizations.gcpUserAccessBindings.list
accesscontextmanager	GET	v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId}	none		accesscontextmanager.organizations.gcpUserAccessBindings.get
accesscontextmanager	GET	v1/permissions	none		accesscontextmanager.permissions.list
accesscontextmanager	GET	v1/projects/{projectsId}:lookupConfiguredServicePerimeter	none		accesscontextmanager.projects.lookupConfiguredServicePerimeter
accesscontextmanager	GET	v1/services	none		accesscontextmanager.services.list
accesscontextmanager	GET	v1/services/{name}	none		accesscontextmanager.services.get
accesscontextmanager	PATCH	v1/accessPolicies/{accessPoliciesId}	longrunning	updateMask	accesscontextmanager.accessPolicies.patch
accesscontextmanager	PATCH	v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId}	longrunning	updateMask	accesscontextmanager.accessPolicies.accessLevels.patch
accesscontextmanager	PATCH	v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId}	longrunning	updateMask	accesscontextmanager.accessPolicies.authorizedOrgsDescs.patch
accesscontextmanager	PATCH	v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId}	longrunning	updateMask	accesscontextmanager.accessPolicies.servicePerimeters.patch
accesscontextmanager	PATCH	v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId}	longrunning	updateMask	accesscontextmanager.organizations.gcpUserAccessBindings.patch
accesscontextmanager	POST	v1/accessPolicies	longrunning		accesscontextmanager.accessPolicies.create
accesscontextmanager	POST	v1/accessPolicies/{accessPoliciesId}/accessLevels	longrunning		accesscontextmanager.accessPolicies.accessLevels.create
accesscontextmanager	POST	v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId}:testIamPermissions	none		accesscontextmanager.accessPolicies.accessLevels.testIamPermissions
accesscontextmanager	POST	v1/accessPolicies/{accessPoliciesId}/accessLevels:replaceAll	longrunning		accesscontextmanager.accessPolicies.accessLevels.replaceAll
accesscontextmanager	POST	v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs	longrunning		accesscontextmanager.accessPolicies.authorizedOrgsDescs.create
accesscontextmanager	POST	v1/accessPolicies/{accessPoliciesId}/servicePerimeters	longrunning		accesscontextmanager.accessPolicies.servicePerimeters.create
